ID_PERSON_NEW,NACHNAME,VORNAME,GESCHLECHT,DATUM_GEBURT_TAG,DATUM_GEBURT_MONAT,DATUM_GEBURT_JAHR,DATUM_GEBURT,DATUM_TOD_TAG,DATUM_TOD_MONAT,DATUM_TOD_JAHR,DATUM_TOD,BERUF,AKAD_TITEL,KONFESSION,DIENSTGRAD,GND,HLS,MATRIKELZH,VIAF,QUELLEN,BEMERKUNGEN,BILD,BILDQUELLE
13,Petermann,Albert L.,m,,,1937,,,,,,Gewerbesekretär,,,,,,,,,,,
39,Ruedin,Jacques,m,,,1910,,,,,,Direktionssekretär,Dr.,,,,,,,,,,
45,Nievergelt,Ernst,m,,,1894,,,,,,Kaufmann,,,,,,,,,,,
46,Reimann,Hansheinrich,m,,,1914,,,,,,Architekt,,,,,,,,,,,
52,Fischer,Otto,m,,,1901,,,,,,Reparateur,,,,,,,,,,,
56,Müller-Munz,Caspar,m,,,1884,,,,,,Restaurateur,,,,,,,,,,,
59,Kleiner,Gottfried,m,4,5,1897,1897-05-04 00:00:00.0,01,01,1958,1958-01-01 00:00:00.0,Kaufmann,,,,,,,,BLVS V.237,,,BLVS V.237
61,Krummenacher,Jakob,m,,,1904,,,,,,Glaser,,,,,,,,,,,
115,Kägi,Eugen,m,,,1926,,,,,,Unternehmensberater,,,,,,,,,,,
116,Roth,Richard,m,,,1926,,,,,,Adjunkt,Dr. rer. pol.,,,,,,,,,,
125,Fischer,Walter,m,,,1929,,,,,,Rechtsanwalt,Dr. iur.,,,,,,,,,,
126,Hohermuth,Susanne,w,,,1941,,,,,,Soziologin,lic. phil.,,,,,,,,,,
130,Bautz,Rudolf,m,,,1941,,,,,,Sozialwissenschaftler,lic. phil.,,,,,,,,,,
138,Felix,Peter,m,,,1929,,,,,,Werbeberater,,,,,,,,,,,
144,Güntensperger,Alfred,m,,,1933,,,,,,Polizeibeamter,,,,,,,,,,,
147,Holenstein,Peter,m,,,1939,,,,,,Bezirksanwalt,lic. iur.,,,,,,,,,,
155,Stiefel,Gottfried,m,,,1923,,,,,,Transport-Unternehmer,,,,,,,,,,,
160,Baur,Karl,m,,,1902,,,,,,Chauffeur,,,,,,,,,,,
164,Müller,August,m,,,1921,,,,,,Sekretär,,,,,,,,,,,
169,Holenstein,Alois,m,,,1906,,,,,,Stadtrat,,,,,,,,,,,
172,Strickler,Gottlieb,m,,,1906,,,,,,Autolackierermeister,,,,,,,,,,,
175,Wiedenmeyer,Hermann,m,,,1908,,,,,,Abteilungsleiter/Kaufmann,,,,,,,,,,,
180,Mayr,Max,m,,,1908,,,,,,Verwalter,,,,,,,,,,,
182,Sulzer,Adolf,m,,,1908,,,,,,Detektivwachmeister,,,,,,,,,,,
183,Bisang,Hans,m,,,1911,,01,07,1957,1957-07-01 00:00:00.0,Verwalter,,,,,,,,,,,
193,Fegblé,Arnold,m,,,1910,,,,,,Vorarbeiter,,,,,,,,,,,
197,Kolb,Eduard,m,,,1890,,,,,,Postobergehilfe,,,,,,,,,,,
200,Maurer,Adolf,m,,,1911,,,,,,Berufsberater,,,,,,,,,,,
204,Amrein,Robert,m,,,1905,,,,,,Bezirksrichter,,,,,,,,,,,
205,Bays,Emil,m,,,1914,,,,,,Monteur,,,,,,,,,,,
212,Steuri,Fritz,m,,,1901,,,,,,Ziegeleiarbeiter,,,,,,,,,,,
299,Federer,Markus,m,,,1955,,,,,,Heimleiter,,,,,,,,,,,
303,Schwyn,Christine,w,,,1963,,,,,,Rollstuhltaxichauffeuse/Dozentin,cand. phil. I.,,,,,,,,,,
304,Volkart,Willy,m,,,1942,,,,,,Lokomotivführer SBB,,,,,,,,,,,
306,Singer,Otto,m,,,1936,,,,,,Bauingenieur,HTL,,,,,,,,,,
307,Scherr,Niklaus,m,,,1944,,,,,,Journalist,lic. phil.,,,,,,,,,,
309,Hagenmüller,Eberhard,m,,,1924,,,,,,Architekt/Techniker,HTL,,,,,,,,,,
310,Ronner,Otto,m,,,1925,,,,,,Postverwalter,,,,,,,,,,,
312,Eicher,Ernst,m,,,1910,,,,,,Stadtamman,,,,,,,,,,,
313,Gujer,Hans,m,,,1915,,,,,,Schulpräsident,,,,,,,,,,,
314,Sansonnens,Jean,m,,,1930,,,,,,Gärtnervorarbeiter,,,,,,,,,,,
316,Winiger,Alois,m,,,1911,,,,,,Verbandssekretär,,,,,,,,,,,
319,Murbach,Gottfried,m,,,1913,,,,,,Kaufmann,,,,,,,,,,,
321,Rellstab,Fred,m,,,1911,,,,,,Sekretär,,,,,,,,,,,
323,Schuler,Karl,m,,,1924,,,,,,Zugführer SBB,,,,,,,,,,,
333,Winiger,August,m,,,1893,,,,,,Prokurist,,,,,,,,,,,
335,Zürn,Gustav,m,,,1899,,,,,,kaufmännischer Angestellter,,,,,,,,,,,
337,Haindl,Willy,m,,,1908,,,,,,Maurer,,,,,,,,,,,
340,Kleck,Kurt,m,,,1918,,,,,,Malermeister,,,,,,,,,,,
343,Grüebler,Heinrich,m,,,1897,,,,,,Angestellter,,,,,,,,,,,
344,Huber,Emil,m,,,1915,,,,,,Verwalter,,,,,,,,,,,
345,Huber,Ernst,m,,,1903,,,,,,kaufmännischer Angestellter,,,,,,,,,,,
347,Messmer,Jakob,m,,,1906,,,,,,Mechaniker,,,,,,,,,,,
349,Disler,Hans,m,,,1897,,,,,,Feinmechaniker,,,,,,,,,,,
351,Hauser,Ferdinand,m,,,1910,,,,,,Angestellter,,,,,,,,,,,
353,Mayer,Georg,m,,,1894,,,,,,Schreinermeister,,,,,,,,,,,
356,Baumann,Emil,m,,,1897,,,,,,kaufmännischer Angestellter,,,,,,,,,,,
405,Bohren,Alfred,m,,,1932,,,,,,Schulpräsident,,,,,,,,,,,
408,Heussler,Fatima,w,,,1952,,,,,,Hausfrau,lic. iur.,,,,,,,,,,
410,Nipkow,Jürg,m,,,1946,,,,,,Ingenieur,Dipl. ETH,,,,,,,,,,
419,Strasser,Peter,m,,,1940,,,,,,Berufsschullehrer,lic. phil.,,,,,,,,,,
421,Zogg,Walter,m,,,1934,,,,,,Sekretär,,,,,,,,,,,
427,Frey,Walter,m,,,1898,,,,,,Bücherexperte,,,,,,,,,,,
428,Kistler,Alois,m,,,1906,,,,,,Kaufmann,,,,,,,,,,,
440,Nehrwein,Fritz,m,,,1907,,,,,,Verwaltungsrichter,Dr.,,,,,,,,,,
442,Schärli,Alois,m,,,1911,,,,,,Wirtschaftsberater,Dr.,,,,,,,,,,
445,Heyden,Willy,m,,,1904,,,,,,Arzt,Dr. med.,,,,,,,,,,
446,Kläsi,Peter,m,,,1920,,,,,,Personalchef,,,,,,,,,,,
453,Kappeler,Josef,m,,,1895,,,,,,Friedensrichter,,,,,,,,,,,
461,Meier,Hermann,m,,,1897,,,,,,Ingenieur,Dipl. ETH,,,,,,,,,,
465,Zeller,Konrad,m,,,1897,,,,,,Seminardirektor,,,,,,,,,,,
467,Keller,Theodor,m,,,1902,,,,,,Bezirksrichter,,,,,,,,,,,
469,Schguanin,Josef,m,,,1914,,,,,,Kaufmann,,,,,,,,,,,
475,Heyer,Albert,m,,,1909,,,,,,Zentralsekretär,,,,,,,,,,,
477,Inhelder,Heinrich,m,,,1891,,,,,,Arzt,Dr. med.,,,,,,,,,,
479,Peter,Otto,m,,,1880,,,,,,Kaufmann,,,,,,,,,,,
486,Wiesendanger,Paul,m,,,1869,,,,,,Buchdruckereibesitzer,,,,,,,,,,,
487,Zweifel,Heinrich,m,,,1904,,,,,,Mostereibesitzer,,,,,,,,,,,
561,Sieg,Werner,m,,,1944,,,,,,Mittelschullehrer,Dr. phil.,,,,,,,,,,
569,Vontobel,Jürg P.,m,,,1939,,,,,,Sprachlehrer/Geschäftsinhaber,,,,,,,,,,,
575,Wintsch,Hans-Ulrich,m,,,1932,,,,,,Psychologe,Dr.,,,,,,,,,,
580,Tanner,Paul,m,,,1919,,,,,,kaufmännischer Angestellter,,,,,,,,,,,
584,Grossmann,Marcel,m,,,1904,,,,,,Professor,Dr.,,,,,,,,,,
586,Mettler,Hans,m,,,1897,,,,,,alt Geschäftsführer,Dr.,,,,,,,,,,
587,Meyer,Rolf,m,,,1910,,,,,,Regionalplaner,,,,,,,,,,,
588,Pesch,Fritz,m,,,1905,,,,,,Bezirksrichter,Dr.,,,,,,,,,,
599,Breny,Walter,m,,,1898,,,,,,Vertreter,,,,,,,,,,,
612,Attinger,Albert,m,,,1902,,,,,,Kanzlist,,,,,,,,,,,
613,Eberhard,Johann,m,,,1888,,,,,,Kondukteur,,,,,,,,,,,
615,Stalder,Arthur,m,,,1898,,,,,,Ingenieur,dipl.,,,,,,,,,,
624,Ehrsam,Armin,m,,,1880,,,,,,Landwirt,,,,,,,,,,,
642,Büchi,Ernst,m,,,1928,,,,,,Redaktor/Verleger,,,,,,,,,,,
643,Gerber,Rolf,m,,,1952,,,,,,Geschäftsführer/Redaktor,dip. Ing. Agr. ETH,,,,,,,,,,
656,Diethelm,Michael,m,,,1962,,,,,,Geschäftsinhaber,,,,,,,,,,,
659,Stadler,Xaver,m,,,1933,,,,,,Sanitärinstallateur,eidg. dipl.,,,,,,,,,,
660,Steiner,Bruno,m,,,1948,,,,,,Bezirksrichter,Dr. iur.,,,,,,,,,,
662,Baumann,Otto,m,,,1936,,,,,,Garagist,,,,,,,,,,,
680,Staubli,Walter,m,,,1917,,,,,,kaufmännischer Angestellter,,,,,,,,,,,
687,Kindermann,Hans,m,,,1901,,,,,,alt Kaufmann,,,,,,,,,,,
691,Buri,Ernst,m,,,1910,,,,,,Wickler,,,,,,,,,,,
694,Schmid,Benno,m,,,1934,,,,,,Rechtsanwalt,Dr.,,,,,,,,,,
695,Siegfried,Otto,m,,,1916,,,,,,Jugendsekretär,,,,,,,,,,,
700,Theus,Sigisbert,m,,,1908,,,,,,Postbeamter,,,,,,,,,,,
